Month (month),State (state_name),State Code (state_code),District (district_name),District Code (district_code),Total Rice Allocated (total_rice_allocated),Total Wheat Allocated (total_wheat_allocated),Total Rice Distributed (total_rice_distributed),Total Wheat Distritibuted (total_wheat_distributed)
01-05-2019,Jammu And Kashmir,1,Ganderbal,626,2022.59,0,970.97,1.51
01-05-2019,Manipur,14,Imphal West,256,2498.27,0,2498.27,0
01-06-2020,Maharashtra,27,Pune,490,7913.64,12436.78,7633.76,12006.58
01-05-2018,Uttar Pradesh,9,Sant Kabeer Nagar,178,2984.65,4343.37,2945.67,4285.51
01-06-2019,Madhya Pradesh,23,Dhar,403,1819.26,7639.69,1757.62,7386.8
01-01-2019,Manipur,14,Ukhrul,260,813.92,0,813.92,0
01-08-2019,Goa,30,North Goa,551,1409.86,0,1395.11,0
01-11-2018,Telangana,36,Karimnagar,508,3275.41,0,3047.78,0
01-05-2018,Uttarakhand,5,Tehri Garhwal,55,1445.76,884.55,1445.76,884.55
01-03-2019,Uttar Pradesh,9,Chitrakoot,136,1803,2647.57,1779.88,2613.51
01-12-2017,Jharkhand,20,Godda,330,5209.87,638.39,5049.47,602.52
01-09-2021,Jharkhand,20,Garhwa,328,3529.55,2395.82,3615.26,2297.4
01-04-2019,Uttar Pradesh,9,Kasganj,633,2363.11,3475.68,2248.17,3303.27
01-03-2020,Karnataka,29,"Cha,Arajanagara",531,11208.51,0,4291.7,0
01-11-2021,Madhya Pradesh,23,Satna,426,1970.28,6911.58,1805.88,6351.57
01-08-2018,Odisha,21,Sundargarh,373,7273.82,1209.11,6982.64,1169.78
01-06-2018,Assam,18,Dima Hasao,299,932.15,42,931.25,42
01-06-2019,West Bengal,19,Medinipur East,317,7807.2,11591.28,7781.29,11020.39
01-01-2020,Haryana,6,Mahendragarh,69,0,1073.47,0,926.62
01-04-2020,Tamil Nadu,33,Tiruchirappalli,591,8703.81,223.63,8191.9,202.7
01-04-2020,Odisha,21,Kendujhar,361,7560.36,730.99,7169.19,707.1
01-02-2020,Manipur,14,Bishnupur,252,2290.64,0,1129.27,0
01-09-2021,Punjab,3,Patiala,41,0,29087.73,0,2782.34
01-08-2017,Gujarat,24,Ahmadabad,438,2.98,7,3.68,8.67
01-08-2019,Maharashtra,27,Gadchiroli,475,3453.93,1711.66,3506.48,1755.85
